observation_date,PCRUDEOIL,CRUDEOIL,FCRUDEOIL
1/8/2018,60.58290649,68.48,72.58290649
1/4/2018,59.50654352,68.73,71.50654352
1/3/2018,58.66267604,67.85,70.66267604
1/2/2018,58.73315126,66.65,70.73315126
12/29/2017,59.10125815,66.73,71.10125815
12/28/2017,58.55933478,66.8,70.55933478
12/27/2017,56.59135841,66.03,68.59135841
12/22/2017,56.86839068,64.61,68.86839068
12/21/2017,56.34025041,64.64,68.34025041
12/20/2017,56.24966975,64.43,68.24966975
12/19/2017,56.89335677,63.69,68.89335677
12/18/2017,56.34982694,64.45,68.34982694
12/15/2017,56.30057787,63.81,68.30057787
12/14/2017,55.79577879,63.72,67.79577879
12/13/2017,57.0734245,63.66,69.0734245
12/12/2017,57.94267109,64.96,69.94267109
12/11/2017,56.43006895,65.62,68.43006895
12/8/2017,54.91603255,63.86,66.91603255
12/7/2017,54.94986748,62.37,66.94986748
12/6/2017,55.96366165,62.25,67.96366165
12/5/2017,56.03694282,63.45,68.03694282
12/4/2017,56.77982077,63.45,68.77982077
12/1/2017,55.81107877,64.57,67.81107877
11/30/2017,56.33480522,63.53,68.33480522
11/29/2017,56.22606077,63.74,68.22606077
11/28/2017,55.79018683,63.56,67.79018683
11/27/2017,56.56733495,63.25,68.56733495
11/24/2017,55.60122967,63.58,67.60122967
11/22/2017,54.98300275,62.92,66.98300275
11/21/2017,53.87316414,62.28,65.87316414
11/20/2017,54.22405153,61.34,66.22405153
11/17/2017,54.08011229,61.34,66.08011229
11/16/2017,53.53750112,61.18,65.53750112
11/15/2017,53.87183376,61.25,65.87183376
11/14/2017,55.14221909,60.91,67.14221909
11/13/2017,56.62413156,62.94,68.62413156
11/10/2017,56.79073375,64.35,68.79073375
11/9/2017,56.6689326,64.49,68.6689326
11/8/2017,56.51567772,63.96,68.51567772
11/7/2017,56.89591568,64.36,68.89591568
11/6/2017,54.33338452,64.27,66.33338452
11/3/2017,53.47458882,61.42,65.47458882
11/2/2017,53.17327318,60.79,65.17327318
11/1/2017,54.03522094,60.98,66.03522094
10/31/2017,53.31812273,61.35,65.31812273
10/30/2017,53.01722865,60.65,65.01722865
10/27/2017,51.38329392,60.15,63.38329392
10/26/2017,51.79912672,58.75,63.79912672
10/25/2017,51.06885947,58.45,63.06885947
10/24/2017,50.59518988,57.84,62.59518988
10/23/2017,51.04866844,57.69,63.04866844
10/20/2017,50.70962806,57.89,62.70962806
10/19/2017,51.15397529,57.82,63.15397529
10/18/2017,50.61479929,58.05,62.61479929
10/17/2017,50.1494621,57.63,62.1494621
10/16/2017,49.63001729,57.49,61.63001729
